customer_id,age,gender,salary,inst_count,fraud_count,first_txn_date,last_txn_date
0f934b23c3acfb014542f4fecf7b3d7e,24,F,16406,0,0,1/8/2019,1/31/2019
36ae52212c1baaea8c15ad4175e427bd,29,M,19040,0,0,1/3/2019,1/26/2019
1da5dab587768c39574b9a398f8dee43,27,F,21087,0,0,1/5/2019,1/20/2019
033973a9a5427ab09f3a3ee15980f386,40,F,49111,0,0,1/1/2019,1/31/2019
f9ff8bd5263167078e5846c250232531,41,F,43777,0,0,1/18/2019,1/26/2019
7c9a74874aade515cb0816aacfcd4502,29,M,26142,0,1,1/1/2019,1/31/2019
368ab5c058c418bd35a1127cf9be03d7,25,M,19713,0,0,1/1/2019,1/31/2019
8143e76339ea5045d1440880eb15016d,58,F,48603,0,0,1/3/2019,1/31/2019
d4f88664bc88d58b7b6bd5dc79f783f6,33,F,23041,0,0,1/5/2019,1/23/2019
904c8fb988626da85712893a8adc45f1,23,M,14209,0,0,1/6/2019,1/30/2019
d7e6a607e656c3022e7764eee5a79cda,65,M,53409,0,1,1/3/2019,1/30/2019
aa82d64de045fb73ebae8c13f7da0634,52,M,38294,0,0,1/4/2019,1/30/2019
0a11fb1ef9c2d18f62b0e07d66466447,22,M,20122,0,0,1/5/2019,1/31/2019
165e05566c69c5d41af6a637e2be39aa,57,M,56841,0,0,1/1/2019,1/28/2019
37f5e16926d1eefa448f22b962edcd24,38,F,40454,0,0,1/1/2019,1/31/2019
89bbd1370f7feefba7e9e3fbd2a9807e,37,M,61584,0,0,1/4/2019,1/31/2019
457c074f6821cff7820fef54319dde53,26,F,13951,0,0,1/9/2019,1/17/2019
af4d201f2a1af36654d8b7dd1346f81d,43,F,41535,0,0,1/3/2019,1/26/2019
740e03b90924d346f9ef38024b124404,34,F,28557,0,0,1/3/2019,1/26/2019
efd71d7b0fd9e79cc8dfbd9f96564f5e,30,F,31253,0,0,1/4/2019,1/30/2019
0282dd8ad8db65298eb5919794562ab1,27,F,28691,0,0,1/4/2019,1/28/2019
e66160e598192a253a015cb90ab371dc,21,F,13997,0,0,1/17/2019,1/17/2019
e2d6f6988ac20b859d35d047d778c522,21,M,12010,0,0,1/2/2019,1/24/2019
6473ca6617d2d495f4ad8dbd0baa7e2b,25,M,17929,0,0,1/9/2019,1/12/2019
a03ba8fef9d75f1e0cd189193a0c8d42,32,F,30085,0,1,1/6/2019,1/27/2019
bd696ff9a19d67e4b02b30d060edbd04,29,F,18643,0,0,1/5/2019,1/26/2019
4ff9f9e050f345fd84d0e945bf8d6c37,33,F,26056,0,0,1/4/2019,1/31/2019
841d14cbebb7b5032310b7f9dc36c37e,27,M,19329,0,0,1/4/2019,1/30/2019
4963e568b60129071a6836087915b103,15,F,0,0,0,1/1/2019,1/23/2019
c7051811e49ab74434a470cf47e1e2ca,34,F,38462,0,0,1/12/2019,1/30/2019
8d8e1c92e0a766df71533140bed7d57d,38,F,35616,0,1,1/3/2019,1/30/2019
